ottol_name.id,ottol_name.uid,ottol_name.accepted_uid,ottol_name.parent_uid,ottol_name.name,ottol_name.unique_name
3989784,45753,45752,<NULL>,Acantharia,Acantharia
4773044,4068533,4068533,581435,Acantharia,Acantharia
2563455,661145,661145,706441,Achelous,Achelous
4481428,4668740,4668740,169205,Acheloüs,Acheloüs
2784316,2813136,2813136,166706,Achnanthes plönensis,Achnanthes plönensis
2784518,2813338,2813338,166706,Achnanthes plonensis,Achnanthes plonensis
1759954,1012152,1012152,601077,Acontias lineatus,Acontias lineatus
4091019,1012153,1012152,<NULL>,Acontias lineatus,Acontias lineatus
2504524,541094,541094,1012152,Acontias lineatus grayi,Acontias lineatus grayi
4093552,541095,541094,<NULL>,Acontias lineatus grayi,Acontias lineatus grayi
2504525,541098,541098,1012152,Acontias lineatus lineatus,Acontias lineatus lineatus
4093551,541099,541098,<NULL>,Acontias lineatus lineatus,Acontias lineatus lineatus
1759952,996434,996434,601077,Acontias litoralis,Acontias litoralis
4091020,996435,996434,<NULL>,Acontias litoralis,Acontias litoralis
3084315,3113186,3113186,40172,Acraea kukenthali,Acraea kukenthali
3084438,3113309,3113309,40172,Acraea kükenthali,Acraea kükenthali
3989773,765123,765121,<NULL>,Acrasia,Acrasia
4181085,4280541,4280541,968124,Acrasia,Acrasia
3322775,3351668,3351668,395484,Acritus muhlei,Acritus muhlei
3322792,3351685,3351685,395484,Acritus mühlei,Acritus mühlei
2756132,1048137,1048137,712401,Acropora lutkeni,Acropora lutkeni
3646004,3674967,3674967,712401,Acropora lütkeni,Acropora lütkeni
3071600,3100470,3100470,969380,Actias sjoqvisti,Actias sjoqvisti
3071614,3100484,3100484,969380,Actias sjöqvisti,Actias sjöqvisti
4092222,1060990,1060989,<NULL>,Aedes burgeri,Aedes burgeri
4637984,4477497,4477497,269669,Aedes bürgeri,Aedes bürgeri
3791299,3820366,3820366,737448,Agaricus hemisoodes,Agaricus hemisoodes
3793066,3822134,3822134,737448,Agaricus hemisoödes,Agaricus hemisoödes
4023749,1039832,1039831,<NULL>,Aglaospora,Aglaospora
4783949,4079448,4079448,1039834,Aglaospora,Aglaospora
2344325,221930,221930,541635,Aiphanes,Aiphanes
3920039,3949276,3949276,526437,Aïphanes,Aïphanes
4079959,348697,348696,<NULL>,Aleoides,Aleoides
4392678,4550484,4550484,678079,Aleoides,Aleoides
2572650,679987,679987,781603,Allium noeanum,Allium noeanum
3964681,3994034,3994034,781603,Allium noëanum,Allium noëanum
4092350,195294,195293,<NULL>,Alloclusia,Alloclusia
4271528,4394948,4394948,230909,Alloclusia,Alloclusia
3154647,3183520,3183520,539861,Amata uelleburgensis,Amata uelleburgensis
3154769,3183642,3183642,539861,Amata uëlleburgensis,Amata uëlleburgensis
3080095,3108966,3108966,451928,Amathusia schönbergi,Amathusia schönbergi
3080125,3108996,3108996,451928,Amathusia schonbergi,Amathusia schonbergi
4092353,923501,923500,<NULL>,Amuroclusia,Amuroclusia
4271526,4394946,4394946,230909,Amuroclusia,Amuroclusia
4096048,922208,922207,<NULL>,Anacamptodes,Anacamptodes
4174101,4271682,4271682,968124,Anacamptodes,Anacamptodes
3287897,3316788,3316788,3316196,Anicetus eous,Anicetus eous
3289301,3318193,3318193,3316196,Anicetus eöus,Anicetus eöus
4079872,434118,434117,<NULL>,Anoecidae,Anoecidae
4136780,4225588,4225588,603650,Anoecidae,Anoecidae
4048931,113496,113495,<NULL>,Anoetidae,Anoetidae
4503654,4699063,4699063,511967,Anoetidae,Anoetidae
2954150,2982990,2982990,726755,Anonyx eous,Anonyx eous
2954167,2983007,2983007,726755,Anonyx eöus,Anonyx eöus
4334957,4476215,4476215,793190,Anopheles bustamentei,Anopheles bustamentei
4334976,4476234,4476234,793190,Anopheles bustamentéi,Anopheles bustamentéi
4056475,798672,798670,<NULL>,Anthenantia,Anthenantia
4526238,4731614,4731614,508090,Anthenantia,Anthenantia
4092349,312889,312888,<NULL>,Antichaeta,Antichaeta
4273341,4397257,4397257,130147,Antichaeta,Antichaeta
3772055,3801111,3801111,48329,Antrodia hippophaes,Antrodia hippophaes
3772087,3801143,3801143,48329,Antrodia hippophaës,Antrodia hippophaës
4084206,484730,484729,<NULL>,Apechoneura,Apechoneura
4400217,4560606,4560606,769762,Apechoneura,Apechoneura
4082318,980974,980973,<NULL>,Aphoenops,Aphoenops
4423967,4591890,4591890,413454,Aphoenops,Aphoenops
4179827,4278914,4278914,4278850,Apicia oberthuri,Apicia oberthuri
4179864,4278959,4278959,4278850,Apicia oberthüri,Apicia oberthüri
2387774,309336,309336,4136992,Apogon cathetogrammus,Apogon cathetogrammus
