command	name	rank	parent	context	sourceInfo
add	Acanthotrema frischii	species	Acanthotrema	Fungi	IF:516851
add	Agaricus tlaxcalensis	species	Agaricus	Agaricaceae	IF:512234
#add	Amyloporia nothofaginea	species	Amyloporia	Fungi	IF:519379
add	Beltraniella botryospora	species	Beltraniella	Fungi	IF:515044
add	Botrytis sinoallii	species	Botrytis	Fungi	IF:516747
add	Brigantiaea sorediata	species	Brigantiaea	Fungi	IF:567820
#add	Cantharellus altipes	species	Cantharellus	Fungi	IF:518817
#add	Cantharellus lewisii	species	Cantharellus	Fungi	IF:518818
#add	Cantharellus tenuithrix	species	Cantharellus	Fungi	IF:518819
add	Cantharellus texensis	species	Cantharellus	Fungi	IF:518816
add	Chrysothrix caesia	species	Chrysothrix	Fungi	IF:519248
#add	Clavulina guyanensis	species	Clavulina	Fungi	IF:564684
#add	Clavulina pakaraimensis	species	Clavulina	Fungi	IF:564685
#add	Clavulina rosiramea	species	Clavulina	Fungi	IF:564665
add	Cochliobolus sativus 	species	Cochliobolus	Fungi	IF:285403
add	Coniolepiota	genus	Agaricomycotina incertae sedis	Fungi	IF:518493
#add	Coniolepiota spongodes	species	Coniolepiota	Fungi	IF:518494
#add	Crinipellis malesiana	species	Crinipellis	Fungi	IF:512275
add	Epichloe liyangensis	species	Epichloe	Fungi	IF:518666
synonym	Epichloë liyangensis	species	Epichloe liyangensis	Fungi	IF:518666
add	Eriocybe	genus	Agaricomycotina incertae sedis	Fungi	MB:518495
add	Eriocybe chionea	species	Agaricaceae	Fungi	MB:518496
add	Flavoparmelia caperatula	species	Flavoparmelia	Fungi	IF:567930
add	Hyphodiscus hyaloscyphoide	species	Hyphodiscus	Fungi	IF:518017
#add	Lepiota phaeoderma	species	Lepiota	Fungi	IF:514125
add	Marasmiellus celebanticus	species	Marasmiellus	Fungi	IF:561697
#add	Marasmius angustilamellatus	species	Marasmius	Fungi	IF:512629
#add	Marasmius bondoi	species	Marasmius	Fungi	IF:512430
#add	Marasmius cafeyen	species	Marasmius	Fungi	IF:512414
#add	Marasmius diminutivus	species	Marasmius	Fungi	IF:512624
#add	Marasmius distantifolius	species	Marasmius	Fungi	IF:518122
#add	Marasmius graminipes	species	Marasmius	Fungi	IF:512427
#add	Marasmius imitarius	species	Marasmius	Fungi	IF:512425
#add	Marasmius inthanonensis	species	Marasmius	Fungi	IF:512422
#add	Marasmius iras	species	Marasmius	Fungi	IF:512628
#add	Marasmius jasminodorus	species	Marasmius	Fungi	IF:512421
#add	Marasmius kanchingensis	species	Marasmius	Fungi	IF:512631
add	Marasmius kuthubutheeni	species	Marasmius	Fungi	IF:512635
#add	Marasmius ochropoides	species	Marasmius	Fungi	IF:512627
#add	Marasmius olivascens	species	Marasmius	Fungi	IF:512630
#add	Marasmius suthepensis	species	Marasmius	Fungi	IF:512429
add	Melanelixia glabratula	species	Melanelixia	Fungi	IF:541846
add	Muscodor sutura	species	Muscodor	Fungi	IF:561540
add	Ophiostoma crescericum	species	Ophiostoma	Fungi	IF:564954
add	Ophiostoma euskadiense	species	Ophiostoma	Fungi	IF:564953
add	Ophiostoma nebulare	species	Ophiostoma	Fungi	IF:564952
add	Paraconiothyrium babiogorense	species	Paraconiothyrium	Fungi	IF:519253
add	Paraphysoderma	genus	Physodermataceae	Fungi	IF:561750
add	Paraphysoderma sedebokerense	species	Paraphysoderma	Fungi	MB:561751
add	Periglandula turbinae	species	Periglandula	Fungi	IF:561041
add	Phyllosticta cavendishii	species	Phyllosticta	Fungi	IF:564747
add	Phyllosticta hostae	species	Phyllosticta	Fungi	IF:564904
add	Phyllosticta schimae	species	Phyllosticta	Fungi	IF:564905
add	Plectosphaerella delsorboi	species	Plectosphaerella	Fungi	IF:564576
add	Plectosphaerella oratosquillae	species	Plectosphaerella	Fungi	IF:564577
#add	Pluteus brunneosquamulosus	species	Pluteus	Fungi	IF:563402
add	Pluteus stenotrichus	species	Pluteus	Fungi	IF:563470
add	Pluteus sublaevigatus	species	Pluteus	Fungi	IF:513081
#add	Pluteus velutinus	species	Pluteus	Fungi	IF:563403
add	Podosphaera filipendulae	species	Podosphaera	Fungi	IF:568074
add	Psilachnum staphyleae	species	Psilachnum	Fungi	IF:515080
add	Ramichloridium mali	species	Ramichloridium	Fungi	IF:564672
add	Rhodotorula rosulata	species	Rhodotorula	Fungi	IF:516970
add	Schizotrema zebrinum	species	Schizotrema	Fungi	IF:516902
add	Sclerostagonospora cycadis	species	Sclerostagonospora	Fungi	IF:560171
add	Spiroplana	genus	Pleosporales	Fungi	MB:519376
add	Spiroplana centripeta	species	Spiroplana	Fungi	MB:519377
#add	Thecaphora capensis	species	Thecaphora	Fungi	IF:508255
add	Togniniella microspore	species	Togniniella	Fungi	IF:519582
add	Trichoderma brunneoviride	species	Trichoderma	Fungi	IF:512098
#add	Tricladium alaskense	species	Tricladium	Fungi	IF:564247
#add	Tricladium kelleri	species	Tricladium	Fungi	IF:564246
add	Volvariella nullicystidiata	species	Volvariella	Fungi	IF:512150
add	Volvariella nivea	species	Volvariella	Fungi	IF:513096
add	Lignosus hainanensis	species	Lignosus	Fungi	IF:518072
add	Hyaloperonospora drabae	species	Hyaloperonospora	Oomycetes	IF:518038
#add	Clavulina cerebriformis	species	Clavulina	Fungi	MB:561188
#add	Clavulina cinereoglebosa	species	Clavulina	Fungi	MB:561189
