uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
395057	|		|	life	|	phylum	|	ncbi:6231,gbif:5967481	|		|		|	
931695	|	395057	|	Enoplea	|	class	|	ncbi:119088	|		|	sibling_lower	|	
117565	|	931695	|	Enoplia	|	subclass	|	ncbi:33218	|		|		|	
1093869	|	117565	|	Trichocephalida	|	order	|	ncbi:6329,gbif:444	|		|	sibling_lower	|	
405870	|	1093869	|	Trichuridae	|	family	|	ncbi:119093,gbif:6493	|		|		|	
405865	|	405870	|	Capillaria	|	genus	|	ncbi:119095	|		|		|	
1001784	|	405865	|	Capillaria tenuissima	|	species	|	ncbi:455385	|		|		|	
900006	|	405865	|	Capillaria putorii	|	species	|	ncbi:1239594	|		|		|	
722822	|	405865	|	Capillaria sp. 1	|	species	|	ncbi:119097	|	Capillaria sp. 1 (ncbi:119097)	|		|	
722814	|	405865	|	Capillaria gastrica	|	species	|	ncbi:119096	|		|		|	
700463	|	405865	|	Capillaria plica	|	species	|	ncbi:1239593	|		|		|	
700461	|	405865	|	Capillaria hepatica	|	species	|	ncbi:1239592	|		|		|	
409022	|	405865	|	Capillaria aerophila	|	species	|	ncbi:1172388	|		|		|	
405860	|	405865	|	Capillaria sp. 3	|	species	|	ncbi:119099	|	Capillaria sp. 3 (ncbi:119099)	|		|	
405859	|	405865	|	Capillaria sp. 2	|	species	|	ncbi:119098	|	Capillaria sp. 2 (ncbi:119098)	|		|	
232883	|	405865	|	Capillaria sp. XW-2011	|	species	|	ncbi:1070293	|	Capillaria sp. XW-2011 (ncbi:1070293)	|		|	
78479	|	405865	|	Capillaria sp. 4	|	species	|	ncbi:119205	|	Capillaria sp. 4 (ncbi:119205)	|		|	
254104	|	405870	|	Cystoopsis	|	genus	|	ncbi:330402,gbif:2283360	|		|		|	
254105	|	254104	|	Cystoopsis atractostei	|	species	|	ncbi:330403	|		|		|	
3590205	|	254104	|	Cystoopsis acipenseri	|	species	|	gbif:2283361	|		|		|	
3590207	|	254104	|	Cystoopsis acipenseris	|	species	|	gbif:4554231	|		|		|	
3590211	|	254104	|	Cystoopsis scomber	|	species	|	gbif:4346523	|		|		|	
206555	|	405870	|	Trichuris	|	genus	|	ncbi:36086,gbif:2283366	|		|		|	
1082545	|	206555	|	Trichuris skrjabini	|	species	|	ncbi:198341,gbif:4554227	|		|		|	
1072653	|	206555	|	Trichuris sp. H37	|	species	|	ncbi:1005917	|	Trichuris sp. H37 (ncbi:1005917)	|		|	
1072652	|	206555	|	Trichuris sp. H38	|	species	|	ncbi:1005918	|	Trichuris sp. H38 (ncbi:1005918)	|		|	
1072651	|	206555	|	Trichuris sp. H39	|	species	|	ncbi:1005919	|	Trichuris sp. H39 (ncbi:1005919)	|		|	
1011670	|	206555	|	Trichuris vulpis	|	species	|	ncbi:219738,gbif:4554229	|		|		|	
976897	|	206555	|	Trichuris sp. NMG-2010	|	species	|	ncbi:981533	|	Trichuris sp. NMG-2010 (ncbi:981533)	|		|	
912976	|	206555	|	Trichuris suis	|	species	|	ncbi:68888,gbif:4554216	|		|		|	
910282	|	206555	|	Trichuris sp. H78	|	species	|	ncbi:666860	|	Trichuris sp. H78 (ncbi:666860)	|		|	
849561	|	206555	|	Trichuris leporis	|	species	|	ncbi:109045,gbif:4554198	|		|		|	
824447	|	206555	|	Trichuris pampeana	|	species	|	ncbi:1072630	|		|		|	
812986	|	206555	|	Trichuris arvicolae	|	species	|	ncbi:153940,gbif:4554195	|		|		|	
757767	|	206555	|	Trichuris sp. SB-2011	|	species	|	ncbi:1124583	|	Trichuris sp. SB-2011 (ncbi:1124583)	|		|	
727492	|	206555	|	Trichuris discolor	|	species	|	ncbi:483153,gbif:2283367	|		|		|	
687465	|	206555	|	Trichuris sp. ex Papio ursinus NL-2009	|	species	|	ncbi:668965	|	Trichuris sp. ex Papio ursinus NL-2009 (ncbi:668965)	|		|	
531004	|	206555	|	Trichuris sp. ex Colobus guereza JP-2011	|	species	|	ncbi:1035823	|	Trichuris sp. ex Colobus guereza JP-2011 (ncbi:1035823)	|		|	
530896	|	206555	|	Trichuris sp. ex Camelus bactrianus JP-2011	|	species	|	ncbi:1035820	|	Trichuris sp. ex Camelus bactrianus JP-2011 (ncbi:1035820)	|		|	
530892	|	206555	|	Trichuris sp. ex Macaca silenus JP-2011	|	species	|	ncbi:1035827	|	Trichuris sp. ex Macaca silenus JP-2011 (ncbi:1035827)	|		|	
530866	|	206555	|	Trichuris sp. ex Macaca fascicularis JP-2011	|	species	|	ncbi:1035826	|	Trichuris sp. ex Macaca fascicularis JP-2011 (ncbi:1035826)	|		|	
530832	|	206555	|	Trichuris sp. ex Hylobates gabriellae JP-2011	|	species	|	ncbi:1035825	|	Trichuris sp. ex Hylobates gabriellae JP-2011 (ncbi:1035825)	|		|	
530767	|	206555	|	Trichuris sp. ex Papio anubis JP-2011	|	species	|	ncbi:1035829	|	Trichuris sp. ex Papio anubis JP-2011 (ncbi:1035829)	|		|	
530745	|	206555	|	Trichuris sp. ex Pan troglodytes JP-2011	|	species	|	ncbi:1035828	|	Trichuris sp. ex Pan troglodytes JP-2011 (ncbi:1035828)	|		|	
510849	|	206555	|	Trichuris ovis	|	species	|	ncbi:93034,gbif:4554213	|		|		|	
452835	|	206555	|	Trichuris sp. ex Chlorocebus sabaeus JP-2011	|	species	|	ncbi:1035822	|	Trichuris sp. ex Chlorocebus sabaeus JP-2011 (ncbi:1035822)	|		|	
445698	|	206555	|	Trichuris sp. H40	|	species	|	ncbi:1005920	|	Trichuris sp. H40 (ncbi:1005920)	|		|	
445697	|	206555	|	Trichuris sp. H43	|	species	|	ncbi:1005923	|	Trichuris sp. H43 (ncbi:1005923)	|		|	
445696	|	206555	|	Trichuris sp. H42	|	species	|	ncbi:1005922	|	Trichuris sp. H42 (ncbi:1005922)	|		|	
445693	|	206555	|	Trichuris sp. H44	|	species	|	ncbi:1005924	|	Trichuris sp. H44 (ncbi:1005924)	|		|	
351080	|	206555	|	Trichuris sp. H16	|	species	|	ncbi:1008122	|	Trichuris sp. H16 (ncbi:1008122)	|		|	
351076	|	206555	|	Trichuris sp. H15	|	species	|	ncbi:1008121	|	Trichuris sp. H15 (ncbi:1008121)	|		|	
349934	|	206555	|	Trichuris muris	|	species	|	ncbi:70415,gbif:4554211	|		|		|	
285692	|	206555	|	Trichuris sp. ex Chlorocebus aethiops JP-2011	|	species	|	ncbi:1035821	|	Trichuris sp. ex Chlorocebus aethiops JP-2011 (ncbi:1035821)	|		|	
285304	|	206555	|	Trichuris sp. ex Homo sapiens JP-2011	|	species	|	ncbi:1035824	|	Trichuris sp. ex Homo sapiens JP-2011 (ncbi:1035824)	|		|	
272667	|	206555	|	Trichuris sp. ex Theropithecus gelada JP-2011	|	species	|	ncbi:1035831	|	Trichuris sp. ex Theropithecus gelada JP-2011 (ncbi:1035831)	|		|	
206556	|	206555	|	Trichuris trichiura	|	species	|	ncbi:36087,gbif:4554218	|		|		|	
183498	|	206555	|	Trichuris sp. ex Papio hamadryas JP-2011	|	species	|	ncbi:1035830	|	Trichuris sp. ex Papio hamadryas JP-2011 (ncbi:1035830)	|		|	
45920	|	206555	|	Trichuris sp. H41	|	species	|	ncbi:1005921	|	Trichuris sp. H41 (ncbi:1005921)	|		|	
